BOROUGH,YEAR,MONTH,COLLISION_COUNT
MANHATTAN,2015,5,3882
MANHATTAN,2015,6,3734
MANHATTAN,2015,7,3847
MANHATTAN,2015,8,3708
MANHATTAN,2015,9,3641
MANHATTAN,2015,10,4026
MANHATTAN,2015,11,3546
MANHATTAN,2015,12,3675
MANHATTAN,2016,1,3176
MANHATTAN,2016,2,3196
MANHATTAN,2016,3,3078
MANHATTAN,2016,4,3066
MANHATTAN,2016,5,3442
MANHATTAN,2016,6,3138
MANHATTAN,2016,7,3052
MANHATTAN,2016,8,2846
MANHATTAN,2016,9,2750
MANHATTAN,2016,10,2847
MANHATTAN,2016,11,2847
MANHATTAN,2016,12,2639
MANHATTAN,2017,1,2340
MANHATTAN,2017,2,2169
MANHATTAN,2017,3,2692
MANHATTAN,2017,4,2664
MANHATTAN,2017,5,2962
MANHATTAN,2017,6,3012
MANHATTAN,2017,7,2682
MANHATTAN,2017,8,2562
MANHATTAN,2017,9,2661
MANHATTAN,2017,10,2604
MANHATTAN,2017,11,2710
MANHATTAN,2017,12,2716
MANHATTAN,2018,1,2408
MANHATTAN,2018,2,2310
MANHATTAN,2018,3,2656
MANHATTAN,2018,4,2589
MANHATTAN,2018,5,2820
MANHATTAN,2018,6,2874
MANHATTAN,2018,7,2596
MANHATTAN,2018,8,2543
MANHATTAN,2018,9,2676
MANHATTAN,2018,10,2817
MANHATTAN,2018,11,2598
MANHATTAN,2018,12,2525
MANHATTAN,2019,1,2127
MANHATTAN,2019,2,2025
MANHATTAN,2019,3,2205
MANHATTAN,2019,4,2162
MANHATTAN,2019,5,2525
MANHATTAN,2019,6,2376
MANHATTAN,2019,7,2329
MANHATTAN,2019,8,2159
MANHATTAN,2019,9,2315
MANHATTAN,2019,10,2237
MANHATTAN,2019,11,2094
MANHATTAN,2019,12,2039
MANHATTAN,2020,1,1577
MANHATTAN,2020,2,1626
MANHATTAN,2020,3,1189
MANHATTAN,2020,4,271
MANHATTAN,2020,5,477
MANHATTAN,2020,6,672
MANHATTAN,2020,7,816
MANHATTAN,2020,8,860
MANHATTAN,2020,9,883
MANHATTAN,2020,10,929
MANHATTAN,2020,11,840
MANHATTAN,2020,12,715
MANHATTAN,2021,1,634
MANHATTAN,2021,2,625
MANHATTAN,2021,3,772
MANHATTAN,2021,4,839
MANHATTAN,2021,5,1016
MANHATTAN,2021,6,1107
MANHATTAN,2021,7,1076
MANHATTAN,2021,8,1029
MANHATTAN,2021,9,1171
MANHATTAN,2021,10,1173
MANHATTAN,2021,11,1043
MANHATTAN,2021,12,939
MANHATTAN,2022,1,776
MANHATTAN,2022,2,860
MANHATTAN,2022,3,994
MANHATTAN,2022,4,1021
MANHATTAN,2022,5,1102
MANHATTAN,2022,6,1145
MANHATTAN,2022,7,1008
MANHATTAN,2022,8,348
QUEENS,2012,7,3204
QUEENS,2012,8,3150
QUEENS,2012,9,3152
QUEENS,2012,10,3174
QUEENS,2012,11,3186
QUEENS,2012,12,3272
QUEENS,2013,1,3047
QUEENS,2013,2,2733
QUEENS,2013,3,3285
QUEENS,2013,4,3115
QUEENS,2013,5,3497
QUEENS,2013,6,3345
QUEENS,2013,7,3436
QUEENS,2013,8,3079
QUEENS,2013,9,3270
QUEENS,2013,10,3503
QUEENS,2013,11,3532
QUEENS,2013,12,3467
QUEENS,2014,1,3403
QUEENS,2014,2,3340
QUEENS,2014,3,3178
QUEENS,2014,4,3204
QUEENS,2014,5,3475
QUEENS,2014,6,3628
QUEENS,2014,7,3432
QUEENS,2014,8,3357
QUEENS,2014,9,3513
QUEENS,2014,10,3656
QUEENS,2014,11,3434
QUEENS,2014,12,3401
QUEENS,2015,1,3418
QUEENS,2015,2,2877
QUEENS,2015,3,3632
QUEENS,2015,4,3131
QUEENS,2015,5,3643
QUEENS,2015,6,3686
QUEENS,2015,7,3684
QUEENS,2015,8,3664
QUEENS,2015,9,3708
QUEENS,2015,10,3913
QUEENS,2015,11,3504
QUEENS,2015,12,3629
QUEENS,2016,1,3853
QUEENS,2016,2,3049
QUEENS,2016,3,3406
QUEENS,2016,4,3374
QUEENS,2016,5,3771
QUEENS,2016,6,3627
QUEENS,2016,7,3539
QUEENS,2016,8,3369
QUEENS,2016,9,3350
QUEENS,2016,10,3402
QUEENS,2016,11,3295
QUEENS,2016,12,3359
QUEENS,2017,1,3022
QUEENS,2017,2,2777
QUEENS,2017,3,3313
QUEENS,2017,4,2872
QUEENS,2017,5,3462
QUEENS,2017,6,3483
QUEENS,2017,7,3417
QUEENS,2017,8,3150
QUEENS,2017,9,3039
QUEENS,2017,10,3278
QUEENS,2017,11,3349
QUEENS,2017,12,3465
QUEENS,2018,1,3303
QUEENS,2018,2,2889
QUEENS,2018,3,3467
QUEENS,2018,4,3184
QUEENS,2018,5,3686
QUEENS,2018,6,3525
QUEENS,2018,7,3568
QUEENS,2018,8,3399
QUEENS,2018,9,3474
QUEENS,2018,10,3730
QUEENS,2018,11,3501
QUEENS,2018,12,3551
QUEENS,2019,1,3199
QUEENS,2019,2,2913
QUEENS,2019,3,3243
QUEENS,2019,4,3199
QUEENS,2019,5,3602
QUEENS,2019,6,3725
QUEENS,2019,7,3533
QUEENS,2019,8,3252
QUEENS,2019,9,3220
QUEENS,2019,10,3348
QUEENS,2019,11,3287
QUEENS,2019,12,3344
QUEENS,2020,1,2933
QUEENS,2020,2,2615
QUEENS,2020,3,2092
QUEENS,2020,4,704
QUEENS,2020,5,1097
QUEENS,2020,6,1365
QUEENS,2020,7,1682
QUEENS,2020,8,1743
QUEENS,2020,9,1685
QUEENS,2020,10,1715
QUEENS,2020,11,1497
QUEENS,2020,12,1536
QUEENS,2021,1,1404
QUEENS,2021,2,1317
QUEENS,2021,3,1412
QUEENS,2021,4,1470
QUEENS,2021,5,1776
QUEENS,2021,6,1836
QUEENS,2021,7,1751
QUEENS,2021,8,1738
QUEENS,2021,9,1754
QUEENS,2021,10,1844
QUEENS,2021,11,1744
QUEENS,2021,12,1515
QUEENS,2022,1,1435
QUEENS,2022,2,1308
QUEENS,2022,3,1560
QUEENS,2022,4,1502
QUEENS,2022,5,1645
QUEENS,2022,6,1656
QUEENS,2022,7,1537
QUEENS,2022,8,529
STATEN ISLAND,2012,7,768
STATEN ISLAND,2012,8,849
STATEN ISLAND,2012,9,808
STATEN ISLAND,2012,10,831
STATEN ISLAND,2012,11,798
STATEN ISLAND,2012,12,848
STATEN ISLAND,2013,1,773
STATEN ISLAND,2013,2,717
STATEN ISLAND,2013,3,807
STATEN ISLAND,2013,4,765
STATEN ISLAND,2013,5,904
STATEN ISLAND,2013,6,894
STATEN ISLAND,2013,7,513
STATEN ISLAND,2013,8,529
STATEN ISLAND,2013,9,551
STATEN ISLAND,2013,10,609
STATEN ISLAND,2013,11,607
STATEN ISLAND,2013,12,626
STATEN ISLAND,2014,1,627
STATEN ISLAND,2014,2,612
STATEN ISLAND,2014,3,532
STATEN ISLAND,2014,4,501
STATEN ISLAND,2014,5,527
STATEN ISLAND,2014,6,629
STATEN ISLAND,2014,7,527
STATEN ISLAND,2014,8,505
STATEN ISLAND,2014,9,555
STATEN ISLAND,2014,10,606
STATEN ISLAND,2014,11,514
STATEN ISLAND,2014,12,479
STATEN ISLAND,2015,1,552
STATEN ISLAND,2015,2,440
STATEN ISLAND,2015,3,513
STATEN ISLAND,2015,4,456
STATEN ISLAND,2015,5,630
STATEN ISLAND,2015,6,513
STATEN ISLAND,2015,7,523
STATEN ISLAND,2015,8,508
STATEN ISLAND,2015,9,514
STATEN ISLAND,2015,10,562
STATEN ISLAND,2015,11,556
STATEN ISLAND,2015,12,577
STATEN ISLAND,2016,1,614
STATEN ISLAND,2016,2,521
STATEN ISLAND,2016,3,531
STATEN ISLAND,2016,4,509
STATEN ISLAND,2016,5,607
